Country,CIT_rate_2019,CIT_rate_2020_OLD,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,land_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_equipment_old,capital_weight_building_old,capital_weight_land,capital_weight_inventory,t_rho,r_d,rho_n,r_f,r_n,Z_E,r_g_E,METR_E,Z_B,r_g_B,METR_B,r_g_L,METR_L,p_FIFO,r_g_I,METR_I,METR_Overall
Argentina,0.25,0.35,0.35,0.32,0.04,0.12,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.33,0.33,0.2838,0.010000000000000009,0.37010706979524066,0.02274828760670078,0.5604064722192809,0.12353304508956146,-0.010809426521594542,-1.925118458414283,-0.05569230769230771,-1.179558011049724,0.0,-0.05569230769230771,-1.179558011049724,-0.33438250280880216
Australia,0.3,0.3,0.3,0.02,0.03,0.24,Optional,0,0.0,0.0,0.06,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0264,0.009999999999999998,0.9353331852453182,0.012397385162677077,0.19337829156865446,0.5319148936170213,0.025738601823708226,0.611478507321682,0.009142857142857142,-0.09374999999999996,0.5,0.013428571428571427,0.25531914893617025,0.34389436923974437
Austria   ,0.21,0.25,0.25,0.02,0.03,0.11,Optional,0,0.0,0.0,0.05,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.027,0.009999999999999998,0.876334658447475,0.01594512637229928,0.37284912226393324,0.5263157894736842,0.02231578947368422,0.5518867924528305,0.009333333333333332,-0.07142857142857137,0.5,0.012666666666666666,0.21052631578947378,0.43730268353193624
Bangladesh,0.25,0.325,0.25,0.06,0.12,0.37,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.06999999999999999,0.06999999999999999,0.063,0.009999999999999995,0.8939296288936615,0.010530996348550037,0.0504222327095529,0.6557377049180327,0.013672131147540983,0.2685851318944848,0.0040000000000000036,-1.4999999999999964,0.5,0.014000000000000004,0.28571428571428625,0.12896087641612838
Belgium,0.26,0.29,0.29,0.01,0.07,0.33,LIFO,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01768,0.01,0.9654008504926532,0.010756263987014347,0.07030916942233452,0.7983576642335767,0.01572501799115865,0.36407067987950953,0.010816901408450706,0.07552083333333345,0.0,0.010816901408450706,0.07552083333333345,0.17606331318691754
Bolivia,0.25,0.25,0.25,0.04,0.03,0.17,FIFO,1,0.0,0.0,0.03,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.05,0.05,0.045,0.010000000000000002,0.8617769678856657,0.014905983968193953,0.3291284881737581,0.4,0.024000000000000007,0.5833333333333334,0.006666666666666664,-0.500000000000001,0.5,0.01333333333333333,0.2499999999999997,0.4206422324312052
Botswana,0.21,0.22,0.22,0.04,0.03,0.25,Optional,0,0.0,0.0,0.17,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.05,0.05,0.0456,0.010000000000000002,0.8956237810581239,0.01194714463698851,0.16297991663716233,0.3968253968253968,0.02186406186406184,0.5426284437825757,0.00717948717948718,-0.39285714285714296,0.5,0.012820512820512822,0.21999999999999992,0.2996533864095111
Brazil,0.34,0.34,0.34,0.06,0.04,0.12,Optional,0,0.0,0.13,0.04,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.06999999999999999,0.06999999999999999,0.06047999999999999,0.009999999999999995,0.7678043824660352,0.05629213848617956,0.8223553009545885,0.39808917197452237,0.04394524030110017,0.7724440705868744,0.0007272727272727188,-12.750000000000155,0.5,0.016181818181818176,0.38202247191011246,0.8043872580222113
Bulgaria,0.1,0.1,0.1,0.01,0.04,0.3,Optional,0,0.0,0.0,0.02,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.019200000000000002,0.01,0.959777964247888,0.010179630026318137,0.01764602700232979,0.6756756756756757,0.01277477477477476,0.21720733427362396,0.010222222222222225,0.021739130434782813,0.5,0.01077777777777778,0.07216494845360844,0.08948809761999568
Canada,0.26,0.29,0.265,0.02,0.04,0.55,FIFO,1,0.0,0.01,0.02,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.026819999999999997,0.009999999999999998,0.9634577756523578,0.011873388738067842,0.15778046010247113,0.598623166716552,0.021939530997074075,0.5442017424468358,0.009278911564625845,-0.07771260997067493,0.5,0.012884353741496593,0.22386483632523735,0.2968921217464424
