Country,CIT_rate_2019,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_land,capital_weight_inventory
Australia,0.30,0.30,0.02,0.03,0.24,Optional,0,0.00,0.00,0.06,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Austria   ,0.21,0.25,0.02,0.03,0.11,Optional,0,0.00,0.00,0.05,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Belgium,0.26,0.34,0.01,0.07,0.33,LIFO,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Canada,0.26,0.29,0.02,0.04,0.55,FIFO,1,0.00,0.01,0.02,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Chile,0.27,0.17,0.03,0.08,0.40,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Czech Republic ,0.19,0.19,0.01,0.03,0.21,Optional,0,0.00,0.00,0.04,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Denmark,0.22,0.25,0.01,0.05,0.23,FIFO,1,0.00,0.00,0.01,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Estonia,0.20,0.21,0.01,0.10,0.22,LIFO,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Finland,0.20,0.26,0.01,0.08,0.29,FIFO,1,0.00,0.00,0.04,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
France,0.26,0.34,0.01,0.03,0.27,Optional,0,0.00,0.00,0.05,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Germany,0.30,0.30,0.01,0.03,0.14,LIFO,0,0.00,0.00,0.05,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Greece,0.24,0.24,0.00,0.05,0.39,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Hungary,0.09,0.19,0.01,0.03,0.48,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Iceland,0.20,0.18,0.02,0.03,0.31,FIFO,1,0.00,0.00,0.02,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Ireland,0.13,0.13,0.00,0.02,0.12,FIFO,1,0.00,0.00,0.06,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Israel,0.23,0.25,0.00,0.04,0.30,Optional,0,0.00,0.00,0.10,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Italy,0.28,0.31,0.01,0.02,0.15,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Japan,0.31,0.40,0.01,0.02,0.21,Optional,0,0.01,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Korea S.,0.28,0.24,0.01,0.03,0.20,LIFO,0,0.00,0.00,0.04,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Luxembourg,0.25,0.29,0.01,0.04,0.21,Optional,0,0.00,0.00,0.07,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Mexico,0.30,0.30,0.04,0.05,0.15,LIFO,0,0.00,0.00,0.04,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Netherlands,0.21,0.26,0.01,0.03,0.21,Optional,0,0.00,0.00,0.06,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
